SKU,Style,StyleDesc,ColorDesc,Sizerun,Pairs(物理),整年要求(实际搬仓),是否选款
FU100116W-M070,FU100116W,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M070,407,25,是
FU100177M-M080,FU100177M,FE LO 1920 BLACK CVS/BLACK,BLACK/BLACK,M080,396,99,是
FU100097M-M110,FU100097M,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M110,381,356,是
FU100096W-M100,FU100096W,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M100,378,64,是
FU100096W-M090,FU100096W,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M090,366,47,是
FU100148M-M110,FU100148M,FE LO 1920 RE CVS/BLU/RED CHV,RED/BLUE/RED,M110,359,98,是
FU100174M-M090,FU100174M,FE LO 1920 WHITE/RAINBOW CVS,WHITE/RAINBOW,M090,345,106,是
FU100115M-M120,FU100115M,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M120,340,117,是
FU100190M-M100,FU100190M,FE LO 1920 IVORY,IVORY,M100,338,97,是
FU100097W-M060,FU100097W,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M060,307,32,是
FU100116W-M090,FU100116W,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M090,303,33,是
FU100115M-M080,FU100115M,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M080,296,76,是
FU100190M-M110,FU100190M,FE LO 1920 IVORY,IVORY,M110,276,123,是
FU100116W-M060,FU100116W,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M060,270,24,是
FU100148M-M130,FU100148M,FE LO 1920 RE CVS/BLU/RED CHV,RED/BLUE/RED,M130,255,31,是
FU100116M-M080,FU100116M,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M080,247,117,是
FU100115M-M110,FU100115M,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M110,237,210,是
FU100097W-M090,FU100097W,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M090,236,43,是
FU100148M-M120,FU100148M,FE LO 1920 RE CVS/BLU/RED CHV,RED/BLUE/RED,M120,233,55,是
FU100146M-M100,FU100146M,FELO1920 IVRY CVS/BLUE/RED CHV,IVORY/BLUE/RED,M100,225,133,是
FU100175M-M130,FU100175M,FE LO1920 NAVY CV WHT/RD/BL/GM,NAVY/WH/RD/BL/GM,M130,222,46,是
FU100190M-M090,FU100190M,FE LO 1920 IVORY,IVORY,M090,219,72,是
FU100174M-M100,FU100174M,FE LO 1920 WHITE/RAINBOW CVS,WHITE/RAINBOW,M100,206,94,是
FU100177W-M070,FU100177W,FE LO 1920 BLACK CVS/BLACK,BLACK/BLACK,M070,205,156,是
FU100116W-M100,FU100116W,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M100,187,44,是
FU100115M-M130,FU100115M,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M130,185,66,是
FU100167M-M130,FU100167M,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M130,175,65,是
FU100167M-M080,FU100167M,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M080,167,75,是
FU100193M-M100,FU100193M,FE LO 1920 OFF WHITE,OFF WHITE,M100,156,111,是
FU100167M-M140,FU100167M,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M140,154,35,是
FU100174M-M130,FU100174M,FE LO 1920 WHITE/RAINBOW CVS,WHITE/RAINBOW,M130,149,19,是
FU100096W-M050,FU100096W,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M050,145,23,是
FU100116M-M130,FU100116M,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M130,145,102,是
FU100097W-M100,FU100097W,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M100,142,58,是
